53	262	172	11
185	267	145	8
32	232	145	11
141	286	149	10
53	273	162	7
147	267	156	7
130	286	123	11
306	206	90	9
274	244	87	9
173	269	138	35
304	206	84	8
202	244	106	7
204	260	100	5
29	240	151	7
163	279	139	9
225	269	110	13
98	271	139	26
91	292	121	9
324	235	89	7
224	271	113	8
21	218	128	10
113	286	116	10
257	218	102	9
111	280	108	14
126	278	132	16
113	279	113	16
306	202	82	15
29	237	151	15
128	283	108	14
220	256	147	16
171	260	149	12
69	269	149	13
317	206	112	14
99	276	155	9
267	214	128	15
28	231	147	15
43	252	113	11
224	271	121	11
321	215	73	11
31	234	145	16
329	224	74	12
222	258	119	15
168	267	154	10
273	236	91	15
242	279	123	10
261	221	106	17
244	262	115	14
88	297	99	14
73	278	152	15
53	257	155	14
37	244	106	13
41	245	123	14
297	226	86	15
316	209	108	22
233	280	69	7
123	273	123	6
280	265	65	6
248	247	87	6
123	267	130	6
325	231	54	22
240	274	113	17
212	248	119	16
153	279	103	17
136	297	129	17
94	293	121	13
45	245	125	15
136	308	128	17
28	235	143	20
286	273	110	18
79	284	132	11
74	271	147	14
238	296	94	13
61	267	121	18
287	280	116	11
