11	250	160
27	226	126
41	243	119
55	258	154
68	271	136
84	279	124
100	295	130
133	280	100
162	282	123
177	262	128
193	266	137
210	240	103
225	261	136
247	283	133
260	228	86
276	231	94
290	266	102
305	213	85
319	198	108
332	236	84
349	221	84
363	175	108
15	224	125
33	237	151
48	241	119
64	257	115
89	283	107
103	267	138
120	288	121
135	287	111
17	222	147
40	244	103
54	252	150
82	278	145
96	300	124
118	284	112
138	291	108
160	291	112
173	267	133
189	266	129
210	263	116
229	270	116
250	249	106
280	244	93
296	256	107
322	213	106
345	226	93
358	201	81
24	210	129
39	240	125
59	250	134
74	275	136
94	296	108
113	288	98
134	304	98
185	282	123
205	263	104
220	248	121
238	286	95
254	256	82
268	226	110
284	270	95
303	227	78
322	201	97
337	222	108
353	218	91
19	210	128
15	231	133
37	234	143
58	254	163
81	279	155
95	287	108
112	280	99
128	261	128
153	279	137
175	271	147
207	252	99
237	286	95
258	253	93
271	213	132
296	234	110
319	202	125
26	227	126
42	241	117
61	269	145
77	278	152
93	282	133
111	266	119
126	274	135
139	286	137
155	284	132
171	270	128
185	271	124
207	257	106
223	254	155
236	286	91
256	237	81
271	219	116
292	263	128
308	215	94
323	202	72
336	230	89
352	211	91
4	182	132
27	226	128
41	245	120
55	256	159
76	276	146
89	288	108
111	275	108
131	284	126
149	286	143
170	273	146
189	267	142
207	258	98
222	254	147
240	289	112
253	240	89
269	214	117
287	273	90
302	221	85
317	204	120
335	234	100
350	224	96
1	187	143
14	240	147
30	228	147
43	240	125
57	260	161
72	276	142
88	274	108
105	250	154
130	265	115
154	286	141
176	266	154
191	271	143
206	247	93
220	261	139
235	289	78
252	247	85
279	235	112
299	228	56
322	252	65
335	227	103
358	208	98
14	232	139
27	227	138
53	257	125
66	276	122
88	278	89
116	282	119
133	284	111
147	274	137
162	286	115
177	269	139
193	265	146
210	250	103
235	274	83
253	256	81
267	208	120
284	288	82
301	236	73
315	191	119
331	226	86
345	227	82
363	193	122
16	213	125
29	230	148
26	226	136
48	252	115
69	282	136
83	282	138
112	293	110
133	279	126
146	283	134
168	280	141
186	269	119
212	252	126
16	218	124
37	234	125
58	256	137
80	280	137
103	286	124
30	230	139
53	261	147
75	271	154
102	280	147
124	278	133
149	270	151
172	262	145
197	254	147
218	252	136
243	279	94
18	254	151
37	243	119
52	245	163
67	271	134
80	279	152
96	295	119
109	269	94
125	274	137
140	287	152
156	282	116
22	217	126
38	235	141
58	261	164
80	286	149
98	295	108
12	226	175
27	219	116
43	252	132
59	271	156
72	278	154
87	297	67
103	286	141
116	286	124
131	286	124
144	286	124
