1543	230	121	8
8	214	93	11
229	200	92	9
1422	228	114	12
70	199	102	9
1503	214	125	9
4	215	97	13
21	210	98	9
1329	217	136	10
1755	227	111	18
113	195	102	9
264	217	92	8
1254	283	159	11
1346	208	126	8
648	189	118	6
574	212	98	6
1566	239	123	8
1588	230	130	10
1494	213	121	17
782	217	145	21
563	216	91	17
1113	269	165	15
496	207	95	14
945	244	137	10
1710	221	112	16
71	199	99	15
920	253	135	16
1033	250	154	15
399	214	100	11
137	202	101	11
57	203	100	12
1694	209	125	10
983	251	148	12
551	214	91	12
1110	270	164	12
1590	230	125	7
1100	253	161	13
1378	220	126	15
303	222	92	13
798	223	153	12
1890	292	114	17
430	220	108	15
129	199	104	11
406	220	102	13
372	211	98	15
229	201	96	13
856	253	144	13
1826	282	98	16
457	216	96	12
377	206	94	10
1645	256	119	12
1876	290	98	19
1451	223	115	7
576	210	94	6
790	223	145	11
1767	231	109	7
713	187	140	13
1842	279	100	17
1732	219	109	14
975	248	142	16
442	209	98	19
1260	274	153	16
687	184	133	17
265	216	89	18
374	212	94	13
609	207	87	14
1521	224	103	10
271	210	91	6
1727	220	102	9
1373	219	122	7
1474	217	109	9
1474	215	112	10
157	197	91	9
663	173	117	6
957	246	135	12
237	209	92	14
1534	228	117	12
390	209	101	39
155	202	98	12
1087	258	160	17
