794	220	139
489	194	89
95	199	103
633	192	90
292	225	89
698	181	137
77	198	100
127	198	98
631	194	89
671	184	120
281	227	90
1893	291	113
1105	265	161
658	180	111
811	230	150
544	195	92
596	194	89
341	217	80
1323	217	138
1318	218	140
1420	226	112
1684	225	128
1183	293	166
1034	253	155
1618	236	123
553	209	92
343	220	89
1401	235	114
112	200	100
441	203	99
1688	210	112
299	220	82
1523	204	113
787	206	142
1350	216	134
1798	255	117
1060	244	158
147	186	97
1205	308	172
164	192	96
1324	217	131
1635	253	127
1305	230	139
1380	215	126
969	231	136
274	220	95
1153	268	166
999	243	145
880	241	142
1789	262	109
914	255	140
269	211	98
660	158	106
1203	289	165
1068	247	158
287	219	96
1570	222	129
615	194	94
1650	248	116
108	204	99
1782	256	111
771	195	134
1050	241	157
1703	206	106
629	200	87
129	195	103
581	201	97
748	195	149
1566	219	125
235	183	89
729	174	126
893	261	139
954	239	139
1131	278	174
1687	222	133
1049	247	153
441	217	97
915	250	144
758	206	145
1096	261	157
53	217	92
556	207	89
293	236	81
840	233	148
1769	226	109
1278	253	142
1362	209	124
462	216	100
1314	207	142
989	239	148
1522	219	113
231	199	94
611	195	97
1858	312	95
1522	230	116
1501	205	111
1325	208	132
1626	240	130
460	215	94
1554	209	125
1855	310	95
245	212	98
1075	249	150
1306	225	145
585	212	91
658	198	115
769	192	129
1439	206	127
1753	220	98
952	242	136
279	235	83
1360	200	122
1884	275	108
1298	217	141
1412	220	114
667	202	117
1138	295	177
62	195	97
145	209	101
788	220	145
1755	203	103
721	165	155
1430	225	118
1465	213	123
1714	218	110
935	233	136
1755	219	118
1523	206	118
322	210	87
1321	217	138
1869	310	94
1019	251	155
208	203	95
1167	275	166
711	191	142
882	256	144
25	211	100
67	196	95
713	167	139
313	213	85
183	206	89
1680	224	120
1745	225	93
304	220	83
1795	261	92
628	198	101
1807	258	122
491	202	114
426	206	91
1322	209	144
661	187	121
271	216	90
1579	227	128
572	213	91
1586	218	123
1389	213	118
940	240	137
1202	312	166
1721	214	102
1045	248	152
