21	498	343
111	225	347
168	65	335
248	76	340
46	436	342
145	118	355
109	233	348
279	41	336
149	97	350
143	113	347
67	336	354
196	45	342
72	349	352
181	56	340
264	50	339
76	329	351
214	50	336
266	54	335
257	42	340
240	48	338
109	236	351
149	96	339
110	234	350
180	49	336
83	310	355
289	40	338
263	42	334
107	240	348
167	64	338
138	130	348
21	489	343
199	12	336
119	162	342
31	465	338
100	254	350
39	416	336
123	200	360
52	409	342
85	273	340
274	56	350
145	113	346
210	64	351
91	268	350
203	70	343
56	388	355
212	49	327
191	58	335
278	53	336
210	53	350
211	54	351
170	60	346
285	69	362
289	48	347
119	205	335
306	22	339
78	300	343
110	220	344
116	209	352
232	60	346
270	56	336
79	314	363
255	49	334
243	38	334
263	45	336
85	289	359
261	46	326
265	54	335
171	46	339
193	46	342
265	21	326
14	498	347
55	410	351
201	68	336
294	66	356
243	42	336
135	138	347
208	48	328
106	206	322
310	37	323
100	248	346
187	33	336
194	53	344
215	72	343
87	260	362
81	309	332
119	160	326
277	49	331
138	128	324
181	106	334
137	121	351
106	221	347
235	25	367
56	470	376
83	270	343
262	62	355
229	44	314
257	41	318
121	169	346
191	89	326
73	313	334
158	109	339
104	214	330
278	78	323
281	6	323
204	64	338
204	72	347
102	249	343
152	65	328
148	62	314
201	85	335
282	72	332
22	481	320
218	68	334
229	48	328
245	45	340
136	129	338
113	174	343
312	53	332
20	529	359
119	205	356
106	256	367
26	476	338
75	337	375
193	77	346
54	414	347
263	54	319
280	54	319
123	136	339
35	460	342
159	73	332
94	284	351
85	286	347
307	80	344
253	52	338
170	53	338
183	61	335
283	52	354
196	57	359
270	53	335
228	56	344
260	49	339
179	58	330
151	74	342
33	462	340
130	141	352
131	164	362
152	73	350
149	73	350
282	73	347
255	73	347
256	56	332
303	56	332
232	16	331
123	190	356
248	32	340
249	61	327
227	41	359
178	49	328
