315	68	50	13
359	40	50	11
203	113	99	12
352	46	47	10
251	82	76	8
749	45	45	9
60	136	105	15
77	161	108	7
381	36	58	16
826	37	75	17
944	98	167	17
281	77	60	15
790	32	59	11
401	31	66	11
162	156	123	17
75	157	104	10
887	61	115	12
574	194	94	12
391	29	62	16
586	183	99	19
322	64	47	13
624	150	77	9
267	79	63	10
28	94	115	19
744	48	43	9
150	188	131	8
786	31	51	7
79	160	106	14
252	80	79	17
52	127	112	10
671	96	65	10
368	38	53	16
878	52	105	11
928	90	155	12
144	196	128	13
255	81	77	10
66	144	105	14
944	95	163	8
891	62	119	10
32	107	118	13
855	44	92	16
614	157	82	9
296	74	60	10
672	96	62	13
618	154	80	9
844	46	81	18
138	196	124	9
742	51	42	9
407	37	66	25
422	37	75	17
130	203	120	18
150	193	134	21
794	37	57	20
59	139	141	6
70	155	107	7
117	198	127	8
173	154	110	11
712	70	48	19
670	102	64	17
128	201	120	17
645	123	71	21
870	48	101	14
906	66	130	17
709	76	51	17
345	57	44	18
968	128	190	15
1	101	123	0
248	90	73	12
192	113	99	7
75	163	106	8
97	183	108	8
332	70	43	11
853	48	84	8
923	87	149	9
96	189	112	7
817	35	60	10
318	68	50	19
747	45	45	17
544	162	107	16
864	51	93	14
838	42	75	18
