596	151	374
84	261	381
694	289	346
460	323	322
725	275	319
496	426	378
260	266	349
115	243	383
120	263	370
328	300	395
147	266	363
146	264	367
136	266	367
460	311	333
598	154	346
691	296	338
572	286	385
244	243	413
186	218	379
728	284	346
366	282	392
720	279	333
110	245	383
395	312	413
296	311	324
317	293	358
251	248	379
658	257	360
291	300	340
73	275	402
294	323	360
335	286	415
153	266	372
316	264	358
347	266	397
713	256	376
228	163	386
422	280	443
75	284	394
441	248	411
630	192	374
141	272	356
533	304	342
656	268	356
210	181	385
386	440	401
483	366	354
27	311	386
275	238	374
301	256	370
581	304	378
608	138	374
498	380	392
302	264	365
212	154	376
307	216	370
675	252	383
279	289	376
40	293	386
344	252	418
120	261	376
90	266	386
548	419	353
400	330	397
222	126	401
317	250	358
567	321	385
451	248	378
481	357	349
469	325	342
423	270	383
640	266	406
117	248	363
399	307	418
274	245	378
400	302	395
492	398	394
503	307	378
343	263	401
458	352	362
201	215	362
347	320	411
233	231	370
344	256	413
133	289	367
385	458	410
182	103	326
196	163	402
427	252	397
759	151	299
269	273	328
22	289	399
386	419	415
245	275	399
203	218	374
376	396	401
369	348	392
168	220	369
589	252	379
445	247	376
440	243	408
360	225	422
243	264	418
584	261	410
612	124	358
138	179	337
382	449	417
466	320	386
417	321	404
393	339	438
401	296	408
293	291	388
428	305	351
657	279	397
295	311	346
410	298	433
691	320	372
16	336	386
282	311	378
669	266	374
173	181	388
481	396	372
197	160	395
580	311	385
747	243	381
499	311	386
249	268	406
700	270	362
559	414	370
683	352	372
14	330	381
406	266	392
124	263	358
332	296	381
332	304	429
435	270	404
671	247	356
269	273	372
79	272	376
396	332	415
262	275	385
204	190	378
100	238	383
438	243	370
725	266	363
311	213	312
240	167	401
469	311	351
270	229	360
454	252	306
512	263	381
753	160	369
254	259	333
399	311	401
427	291	372
312	259	324
220	88	411
709	272	362
641	236	346
696	284	331
