321	323	422	14
66	282	402	21
347	302	442	13
487	419	399	16
646	247	390	13
264	293	383	14
26	304	395	16
146	264	372	13
623	206	362	14
114	250	381	20
89	268	386	16
289	309	383	21
500	288	411	13
612	186	383	11
653	270	370	8
294	280	354	9
323	337	431	7
535	352	351	10
280	309	338	8
43	293	402	12
513	245	394	18
276	312	360	13
305	257	349	17
41	298	399	14
130	268	374	17
755	186	326	20
268	264	379	14
400	302	445	16
486	428	411	16
116	261	376	13
358	280	427	13
171	229	376	13
21	307	397	19
395	337	445	17
515	243	381	14
588	197	390	14
276	307	354	16
407	298	470	15
331	314	479	12
406	312	468	16
148	264	378	33
176	222	370	18
67	286	411	19
443	257	401	12
354	296	443	13
532	337	376	15
23	318	395	18
603	122	381	9
524	327	342	14
756	184	338	17
147	268	376	42
310	273	372	19
215	151	418	13
421	305	424	14
224	176	379	11
555	453	374	23
436	268	401	6
512	254	367	7
289	307	331	7
528	352	340	13
254	266	367	16
94	259	392	18
365	344	401	17
749	177	337	16
204	177	394	21
127	270	374	26
739	263	321	19
548	465	333	24
266	282	363	13
593	151	353	12
178	229	381	9
744	213	381	9
414	334	418	9
437	275	399	5
501	284	388	4
81	264	374	8
71	282	406	7
217	129	376	8
754	168	338	6
467	332	351	15
233	240	404	14
491	433	379	14
308	268	338	14
491	435	381	15
