391	63	52	4
142	70	62	9
333	65	45	9
345	59	38	9
287	83	49	9
55	72	40	10
411	63	48	8
149	70	53	9
210	57	41	12
98	58	42	9
106	77	45	37
410	64	51	11
412	64	51	6
118	76	48	7
268	77	48	7
412	58	49	6
143	70	55	6
245	83	39	11
39	53	54	9
134	67	56	5
364	58	42	15
68	73	46	17
65	81	43	18
159	65	48	15
270	71	47	14
98	59	45	17
330	62	51	13
156	66	46	12
451	67	49	13
467	68	52	16
362	56	43	14
322	54	45	21
42	57	59	14
173	57	44	16
223	72	50	16
216	60	48	16
40	51	56	12
213	58	48	19
152	68	48	15
375	72	52	14
398	72	51	17
370	62	51	16
187	72	47	18
44	62	64	18
107	80	46	13
60	79	47	17
402	68	50	15
298	73	50	16
205	49	51	19
454	69	50	16
348	50	44	47
143	68	62	17
311	72	45	16
74	71	50	17
378	76	52	15
245	73	32	8
432	66	48	25
310	73	46	8
219	68	43	49
66	79	44	12
71	70	47	14
241	79	31	19
49	64	58	12
80	71	45	18
303	72	50	11
66	79	44	17
364	55	40	13
402	65	46	11
284	75	67	2
93	54	41	7
61	75	43	7
302	73	48	5
256	73	43	6
312	72	44	6
403	69	45	5
321	59	44	5
35	49	41	6
162	52	41	6
30	33	44	15
284	77	50	18
165	57	44	15
311	74	44	18
167	53	46	12
