16	408	131
31	400	164
50	391	161
69	399	186
89	384	206
108	376	203
128	361	200
149	358	186
171	358	188
193	364	165
234	366	137
258	360	93
280	540	104
302	568	288
323	495	267
344	495	200
366	496	194
389	516	237
26	409	171
48	376	165
70	390	194
91	387	206
112	376	209
132	354	198
153	366	186
172	367	186
190	360	171
210	364	159
230	363	128
251	363	102
63	396	185
90	399	218
110	378	198
130	364	198
158	366	179
183	366	179
204	364	159
221	364	159
241	364	129
272	487	69
303	576	297
330	511	254
356	487	111
379	478	234
402	450	245
30	394	159
43	394	159
62	391	161
104	384	204
121	366	209
152	370	191
178	370	191
195	348	150
220	369	138
239	364	120
275	477	75
300	568	267
322	514	284
339	511	230
16	414	129
37	397	158
69	391	194
111	379	209
129	366	204
195	357	158
213	367	155
231	363	132
249	358	120
275	519	78
304	583	275
328	513	272
362	487	146
376	487	228
389	513	255
36	396	158
52	381	182
69	391	191
85	391	201
112	379	212
127	363	209
194	376	162
214	364	155
238	375	126
255	361	108
285	549	150
298	573	224
316	531	282
334	517	258
21	405	146
38	387	159
54	388	164
70	397	186
88	388	207
105	382	206
148	369	200
195	364	171
211	364	155
227	364	134
243	367	125
261	412	60
275	516	107
291	571	215
307	570	317
330	514	261
346	493	203
375	483	237
402	474	279
17	426	138
34	393	167
51	387	162
69	396	183
89	390	216
107	373	212
123	363	204
194	360	174
210	364	155
228	364	141
243	367	123
263	432	62
278	535	120
292	568	219
312	543	281
327	510	278
342	511	222
357	487	155
375	483	237
393	517	267
406	408	279
19	417	140
34	406	161
49	388	164
64	388	177
78	394	200
96	390	210
114	381	213
131	370	197
193	364	170
208	366	167
227	366	140
245	367	125
268	445	62
281	552	146
298	568	254
313	546	288
332	516	267
352	484	170
366	496	210
381	504	252
398	483	266
19	420	98
38	393	156
56	396	162
73	400	189
89	388	204
104	378	213
122	370	200
140	352	197
195	373	164
216	357	165
234	369	128
255	367	110
20	409	135
35	400	162
49	388	159
70	388	183
87	391	203
103	387	203
132	363	207
207	369	159
250	361	122
307	579	288
29	396	150
51	381	170
72	396	185
92	385	204
136	360	192
59	388	173
91	391	197
113	378	203
211	357	158
236	360	131
324	505	279
392	523	248
35	379	162
69	393	171
100	382	200
34	408	144
54	394	158
73	399	188
92	387	204
111	373	201
130	357	198
217	363	165
236	364	135
249	364	110
262	414	60
25	405	147
54	388	156
80	402	188
104	387	200
204	363	165
19	411	149
62	387	185
80	402	195
101	385	203
121	373	207
160	366	192
192	372	165
213	364	158
233	364	131
250	370	119
