1016	143	85	9
436	124	179	14
507	180	118	13
1249	125	110	10
839	110	133	8
663	100	88	12
481	122	119	10
804	190	86	17
739	102	77	17
307	132	111	7
1128	128	128	9
544	196	89	12
1303	209	130	16
469	110	128	8
229	124	107	6
1201	160	93	10
955	126	92	9
1308	222	139	8
254	124	97	11
1247	125	111	12
1131	127	144	10
167	130	90	14
315	134	104	11
20	141	93	19
1173	128	90	12
429	122	159	9
127	141	98	12
638	133	103	10
854	114	135	9
1108	172	125	19
945	113	91	13
918	121	147	12
430	123	163	8
1206	150	75	13
997	148	124	11
99	130	85	12
202	126	96	9
264	124	77	12
104	132	82	10
337	104	100	8
31	137	92	11
52	134	85	9
1163	111	113	8
44	136	85	9
1066	167	110	8
937	122	100	10
967	142	89	8
64	144	125	8
1011	160	153	15
1115	160	107	10
251	122	93	8
282	134	76	9
313	133	106	7
844	115	153	8
469	106	141	13
706	119	73	18
273	120	61	21
247	123	95	14
45	132	80	14
384	101	65	22
521	196	138	12
987	151	100	18
763	150	58	16
1110	176	111	16
265	126	72	8
1113	151	98	6
396	134	83	4
1150	106	104	6
748	130	81	5
972	148	71	5
825	119	80	4
1047	118	85	4
1122	142	122	33
252	120	95	10
620	120	151	9
159	134	99	12
273	125	72	17
