36	345	206	10
287	392	184	8
51	354	190	7
222	382	194	8
223	384	190	9
208	354	199	9
105	423	190	9
200	348	189	8
252	413	193	8
164	393	214	79
144	383	194	7
231	399	207	5
7	335	215	10
311	348	198	6
327	340	173	5
30	349	185	5
47	352	203	5
249	399	180	7
319	349	182	5
199	349	194	15
165	383	203	15
35	343	198	14
207	349	197	13
160	401	207	14
184	373	195	14
157	400	195	14
313	348	184	11
101	427	185	11
78	396	193	17
185	373	199	12
172	379	202	15
186	374	201	14
273	438	195	14
211	354	181	10
269	413	176	11
118	412	190	14
327	340	160	12
186	369	207	17
119	409	189	12
192	356	194	13
279	425	191	13
51	356	195	13
61	371	191	17
129	401	201	13
61	369	190	13
220	380	180	9
180	378	203	13
155	417	208	10
190	361	199	11
204	369	233	21
97	435	236	17
89	414	184	7
19	345	206	5
46	357	197	5
160	393	195	6
195	348	191	21
48	347	177	22
219	374	185	20
67	380	171	22
264	406	154	22
85	404	189	21
224	386	178	21
99	425	176	17
153	409	178	16
225	388	173	18
280	430	163	17
157	403	165	8
89	412	156	7
285	401	132	6
309	345	141	7
190	351	146	6
312	361	143	7
318	354	107	7
34	338	137	7
182	358	143	6
309	344	169	13
30	343	189	13
236	400	172	22
132	401	177	12
132	400	184	21
