10	332	207
25	352	208
39	343	180
53	361	181
67	367	186
81	397	195
95	417	193
109	426	184
124	406	185
139	396	182
154	401	188
167	379	201
184	378	195
199	345	195
214	348	194
239	403	181
257	403	185
273	421	191
290	406	190
305	349	184
319	352	181
343	306	155
359	319	150
23	353	208
38	347	185
54	356	188
69	383	180
83	400	189
99	427	189
116	418	181
13	338	191
36	338	160
56	365	151
71	371	169
94	410	167
109	423	167
123	409	162
139	405	160
154	396	158
174	410	188
204	349	181
228	387	163
242	401	159
256	403	159
269	418	154
282	432	154
299	380	167
315	341	165
329	343	139
350	301	120
365	318	117
23	344	185
37	353	181
52	362	177
66	362	176
83	404	167
98	425	168
123	422	173
138	392	152
159	401	152
174	380	182
193	358	182
208	340	162
225	370	159
241	397	154
260	408	150
276	456	152
291	405	165
306	351	168
320	369	163
333	338	151
361	328	133
19	334	150
43	344	139
60	358	142
90	397	151
104	423	147
123	408	133
136	397	132
156	410	137
175	375	155
198	347	150
217	351	139
231	390	130
249	408	124
269	414	128
292	387	120
16	326	159
34	354	178
50	352	199
63	370	208
78	392	197
93	406	190
110	431	185
125	431	194
140	390	187
156	400	202
171	375	202
187	377	187
204	341	184
223	380	193
240	412	180
253	418	195
273	430	191
291	404	193
307	345	180
328	331	160
341	314	145
358	340	138
19	338	187
33	341	177
51	353	171
64	369	181
79	380	185
94	410	174
108	432	182
121	416	181
135	397	181
153	400	181
166	393	198
180	384	198
193	360	199
207	351	193
220	362	194
235	377	181
253	406	159
269	413	167
286	408	177
299	374	180
314	357	187
337	330	164
351	327	160
16	338	210
31	358	202
52	365	187
70	391	187
87	412	189
102	419	193
117	426	193
130	403	191
156	400	207
172	375	211
187	387	206
201	357	193
214	347	190
228	386	193
252	403	168
265	410	167
290	403	176
304	345	174
329	349	154
346	310	156
5	325	141
19	341	207
34	345	184
49	357	178
63	365	184
78	393	189
99	425	198
113	419	186
130	400	180
143	396	186
161	401	199
174	377	194
197	364	185
220	356	197
233	392	182
253	412	177
266	427	171
279	457	167
303	351	172
326	336	155
340	308	160
364	334	154
19	357	206
35	340	190
14	330	208
30	349	208
54	348	185
74	375	188
89	399	186
103	431	184
121	423	181
139	396	173
155	404	176
169	393	190
12	328	195
34	352	190
54	360	186
77	400	193
98	417	175
24	336	155
47	341	139
72	377	155
101	419	149
124	412	134
154	399	133
177	386	159
200	345	145
228	374	132
258	404	128
13	326	164
28	348	154
41	344	156
54	369	156
70	371	156
84	400	152
100	422	143
115	418	139
129	399	134
143	392	136
12	332	202
31	348	197
44	348	181
64	370	181
83	397	182
11	332	163
27	332	181
40	351	182
61	365	171
75	388	188
88	401	185
103	426	185
116	426	162
129	408	168
142	408	168
