208	478	194
262	529	132
256	546	131
96	340	172
84	346	167
96	349	174
67	349	168
257	541	127
277	508	112
187	501	168
146	412	196
298	490	91
85	341	178
311	434	96
279	481	107
256	556	142
100	346	178
119	380	176
97	341	171
123	384	176
202	468	186
299	497	112
283	494	103
278	498	123
270	518	127
116	365	172
36	346	179
98	344	176
95	340	167
76	340	182
192	477	203
34	356	188
213	497	192
303	482	115
150	433	184
295	500	112
280	493	118
92	336	188
284	501	120
21	333	199
157	430	200
139	390	204
145	412	207
216	468	183
77	349	191
120	377	199
289	478	138
54	350	180
65	364	194
303	477	132
118	378	199
229	485	183
224	474	175
169	448	187
299	525	108
212	456	174
44	361	186
86	345	183
177	501	196
84	321	188
103	377	196
137	400	188
312	460	106
278	490	110
219	465	182
90	344	184
172	458	179
272	516	122
108	370	184
76	374	184
180	457	207
50	341	176
255	586	143
179	481	191
238	461	199
172	480	198
225	462	186
266	522	154
129	381	179
143	454	151
105	345	186
299	496	122
312	445	111
28	340	194
249	513	171
201	534	187
293	513	86
113	365	178
115	368	180
259	550	130
42	352	183
51	342	182
234	477	179
34	333	178
240	512	195
97	321	170
60	333	162
171	466	196
308	480	111
121	378	188
118	378	167
60	374	182
295	488	96
153	465	204
146	430	162
269	496	150
61	330	183
146	410	204
259	534	132
212	485	167
124	349	168
225	449	179
136	386	168
249	552	147
50	341	171
43	350	155
154	437	199
215	469	172
23	348	179
142	402	199
228	470	180
229	470	180
284	482	94
117	370	186
270	528	134
268	529	134
67	345	184
195	474	192
57	352	163
127	386	176
300	501	100
207	485	160
32	361	176
205	461	180
75	333	152
67	337	163
81	346	172
165	414	166
108	357	167
89	340	166
277	492	111
93	341	178
45	380	195
84	357	192
119	388	195
135	394	200
135	357	166
180	481	199
269	533	143
90	334	187
175	462	190
22	356	184
188	482	186
212	469	182
