86	376	66
137	271	42
80	346	80
16	261	83
125	325	75
50	261	102
58	280	80
80	336	54
17	240	83
90	355	66
126	313	105
133	223	48
84	343	51
24	210	78
76	358	65
134	205	56
73	375	23
61	325	74
137	229	39
42	214	60
90	342	50
58	327	69
13	231	57
135	246	51
26	177	69
106	396	77
96	316	81
92	348	74
102	334	75
55	297	72
120	261	77
109	352	120
16	252	114
52	256	96
59	288	96
44	261	56
22	255	111
93	343	59
71	360	54
94	373	83
104	358	87
24	247	110
32	214	57
101	343	87
27	264	92
71	334	51
84	349	77
133	231	83
25	232	72
61	277	96
92	357	83
57	258	63
100	342	77
111	357	93
102	336	87
83	345	77
28	289	65
18	229	101
13	262	95
129	270	122
48	286	150
29	273	98
30	228	95
17	202	89
108	385	93
34	196	60
16	220	98
105	366	74
18	253	75
74	342	81
57	298	56
124	367	96
67	342	63
56	295	81
92	363	77
24	274	78
80	343	75
87	367	78
27	228	87
124	303	80
93	358	77
77	372	57
87	325	45
51	228	84
56	306	63
14	294	59
15	229	86
22	208	96
110	345	89
80	358	101
79	339	66
25	259	95
32	258	59
90	382	71
134	268	77
94	363	77
22	265	102
100	328	84
49	303	92
94	339	104
115	343	81
69	382	24
55	301	83
19	273	83
114	315	120
127	297	86
13	277	90
79	295	86
26	264	68
120	258	87
136	268	60
134	234	69
112	334	96
123	307	95
21	262	93
17	232	90
96	324	108
97	349	77
42	204	69
86	360	72
8	231	122
35	192	62
16	232	120
35	232	120
60	270	90
79	321	95
65	349	93
99	363	68
52	357	89
62	307	87
58	309	83
24	277	87
63	348	68
72	349	62
60	333	66
41	222	72
53	225	92
47	256	102
120	259	68
12	274	72
89	355	101
38	186	54
27	237	98
74	388	42
109	346	92
131	228	120
19	262	110
100	361	77
81	319	62
78	343	74
72	375	74
43	231	62
38	220	59
47	262	90
61	294	45
69	351	57
68	361	66
83	372	60
112	381	111
22	265	117
