116	316	51	22
50	255	72	14
127	216	104	11
11	237	111	16
77	352	74	14
98	358	81	13
85	358	78	9
79	354	71	9
54	310	69	12
93	367	75	14
14	244	105	20
39	234	74	7
56	337	78	10
128	229	84	14
105	382	111	12
34	202	72	14
58	342	59	9
11	246	95	10
31	198	62	15
121	294	116	15
114	322	39	18
99	363	77	17
13	244	116	12
84	363	81	11
61	354	45	14
105	391	114	17
49	255	63	15
67	370	50	16
44	250	95	13
39	237	72	12
44	240	95	10
76	360	75	13
56	331	72	13
121	289	111	13
42	243	99	14
64	352	47	13
89	376	65	15
70	369	66	13
85	375	68	13
58	343	54	13
77	349	71	14
67	369	44	10
58	351	69	11
21	222	96	12
97	364	80	11
121	297	107	11
82	358	78	10
30	193	54	11
25	214	69	14
103	390	107	23
72	375	62	15
28	214	45	14
133	225	56	17
70	379	59	11
109	342	144	13
129	216	72	13
40	238	81	11
25	213	66	10
144	333	75	40
44	241	95	36
82	355	78	22
114	321	35	32
90	375	71	18
114	324	29	30
140	216	35	20
82	364	72	24
105	382	119	35
136	237	30	25
42	216	138	10
125	267	156	10
124	270	170	8
100	379	150	7
132	228	47	61
22	222	89	23
78	355	71	21
136	229	27	21
105	387	116	83
