158	95	76
170	105	77
153	114	75
217	110	74
119	153	92
66	182	92
240	75	123
102	168	88
196	169	127
109	165	82
207	133	80
234	82	106
210	120	79
52	183	80
216	112	77
35	177	82
258	72	61
13	141	84
223	111	73
89	186	76
17	158	90
214	115	74
107	166	80
226	109	74
204	138	94
203	147	103
251	66	86
240	65	100
243	72	125
40	174	76
22	159	82
222	126	79
154	111	81
149	110	87
92	194	82
42	189	87
226	115	71
42	177	81
226	118	67
162	78	76
74	234	101
58	182	84
38	178	82
197	150	121
97	159	100
224	123	81
94	157	91
57	192	90
144	101	106
185	132	78
214	123	85
227	93	66
67	180	96
114	151	90
155	114	81
64	184	85
228	122	82
230	110	99
187	143	96
220	123	80
243	66	118
208	127	81
92	182	89
86	185	67
172	118	86
91	185	91
117	155	93
86	184	81
220	121	76
35	168	90
12	129	92
229	116	77
147	114	91
208	124	85
148	129	73
187	147	90
159	105	80
151	125	89
187	139	98
118	161	103
119	141	98
172	111	85
148	114	87
25	151	91
225	113	57
250	108	96
44	207	88
230	120	79
83	166	70
251	80	103
198	168	117
186	144	75
185	150	77
113	171	76
160	96	82
150	107	75
113	162	83
204	188	120
153	108	78
111	152	87
228	123	68
184	135	82
164	110	67
200	168	115
52	177	76
73	203	86
56	197	78
212	129	70
227	118	70
121	149	85
71	198	100
17	149	82
236	92	103
227	71	58
62	201	84
103	147	69
90	183	73
194	168	106
121	160	96
231	104	93
241	132	95
178	123	79
159	111	77
222	111	81
16	165	83
235	108	112
118	134	81
159	99	95
127	129	114
160	116	76
175	126	76
15	159	93
46	180	90
47	182	82
157	113	83
152	115	88
240	83	104
241	69	131
184	129	88
97	161	93
50	189	80
226	126	68
200	182	130
242	75	118
153	105	81
192	144	100
139	148	113
231	108	91
184	140	73
44	177	76
184	136	91
19	151	94
190	162	113
229	120	92
172	122	90
229	115	70
129	137	122
204	146	106
103	167	82
56	177	85
