241	71	121	16
123	137	120	15
56	183	94	12
220	125	79	11
64	195	96	14
180	138	88	9
17	162	89	7
179	140	85	9
110	158	90	9
223	107	79	11
74	199	90	11
30	168	79	12
239	70	120	12
76	201	83	12
231	96	100	11
193	166	136	12
67	198	96	15
14	156	93	13
238	75	119	13
162	102	82	20
29	170	81	17
125	135	127	13
177	136	79	21
216	118	82	15
80	198	77	15
238	73	124	19
198	156	124	18
181	145	96	14
99	171	85	17
48	184	88	27
184	153	109	12
25	169	85	20
70	197	97	22
99	169	85	17
229	96	99	17
132	133	136	14
26	167	81	17
145	116	89	17
138	126	112	17
222	108	80	14
133	128	134	19
50	182	82	16
159	103	79	14
144	118	88	15
247	72	100	16
19	162	91	20
25	170	80	17
117	151	100	21
224	117	77	13
195	162	141	14
112	159	88	16
127	138	130	14
232	88	103	17
137	122	115	21
176	129	82	12
108	159	84	11
114	150	88	10
231	86	101	10
179	137	87	24
56	189	91	23
97	173	88	22
194	163	134	19
144	112	85	40
107	159	82	16
134	130	133	17
252	78	81	18
138	118	111	16
142	118	94	17
97	161	82	7
69	197	86	13
118	144	93	10
237	68	116	12
213	120	79	11
89	185	84	13
126	134	122	11
154	109	80	14
34	173	79	11
184	152	105	34
51	182	85	21
121	141	112	16
153	108	79	19
101	170	83	23
