198	220	144	11
284	254	88	12
271	289	67	13
92	212	115	14
277	285	77	16
99	193	116	11
118	146	64	12
248	287	58	11
105	181	126	13
151	169	75	27
108	179	106	11
292	227	91	4
204	221	153	3
247	265	68	3
212	233	108	8
70	266	93	8
93	209	104	7
281	269	94	10
108	177	106	12
288	246	83	15
267	281	73	13
132	220	115	11
308	227	153	14
115	140	62	15
310	234	157	10
21	290	74	14
65	260	94	12
166	152	77	23
129	191	125	15
322	233	177	17
324	241	183	11
111	165	96	19
18	282	108	14
32	289	75	15
322	244	182	13
305	236	156	15
131	211	124	18
123	165	85	16
81	233	125	12
245	272	58	11
299	226	142	16
262	285	86	15
134	228	111	13
157	150	95	12
298	220	131	15
111	171	93	14
76	254	96	17
198	226	139	15
220	238	126	14
33	289	69	27
143	203	36	21
232	238	123	15
145	211	32	20
150	179	59	15
281	277	82	8
226	246	95	11
292	220	113	9
115	140	56	11
12	289	153	11
249	288	53	21
63	261	93	18
247	288	59	21
83	222	124	14
223	249	108	17
329	253	133	13
237	255	98	17
167	153	77	21
201	217	155	14
282	270	77	9
318	238	178	11
164	128	58	10
326	245	117	7
69	266	83	7
205	210	119	6
49	277	57	10
66	259	78	8
139	226	47	9
83	218	121	10
197	225	146	17
292	214	115	16
74	257	85	16
82	222	123	16
243	263	71	16
