38	116	58
103	182	83
40	132	63
102	178	80
41	125	70
40	137	67
101	164	79
26	100	67
102	177	76
20	104	65
133	180	71
83	138	77
20	90	68
69	148	59
6	193	64
66	144	56
49	147	58
98	160	77
69	148	59
51	161	55
139	176	79
105	180	75
19	96	74
51	162	50
47	169	67
19	136	74
51	161	55
37	106	57
51	152	59
65	148	57
37	107	65
51	152	59
50	160	61
111	172	73
49	147	58
57	140	60
83	138	77
23	109	74
126	171	77
14	57	82
41	128	53
51	152	59
124	167	79
101	160	73
125	172	75
36	116	62
70	146	61
104	182	80
90	183	78
105	174	83
123	159	79
10	49	68
51	162	63
69	148	59
70	146	61
125	175	75
132	187	77
25	112	67
51	171	57
55	143	57
18	91	60
125	162	83
86	178	74
103	178	76
136	184	71
51	152	59
93	177	83
20	104	67
112	201	76
125	180	75
20	92	60
57	154	61
93	184	99
37	135	65
111	172	73
47	169	67
4	170	73
93	177	83
80	134	73
90	182	80
101	160	73
81	142	70
106	174	79
52	160	58
47	169	67
66	147	58
102	177	76
38	133	63
19	100	69
104	182	80
51	162	50
114	192	71
125	162	83
101	160	73
70	146	61
76	151	70
19	136	74
111	172	73
106	174	79
20	90	68
