118	417	407	9
152	364	397	9
194	299	378	9
258	201	364	14
102	448	415	14
324	121	357	15
311	131	354	11
261	195	367	11
43	595	442	15
155	366	389	14
180	320	386	10
359	83	332	10
175	329	389	13
330	108	345	11
60	548	444	17
211	288	377	11
295	144	353	10
12	667	457	25
129	411	402	20
322	113	351	19
338	107	349	12
305	147	351	18
96	465	418	18
155	363	396	14
231	240	375	17
72	516	431	11
160	352	405	13
336	105	351	19
301	145	353	18
28	625	452	13
332	108	354	12
323	118	356	10
36	596	447	18
137	388	410	15
348	94	353	15
124	419	412	12
168	344	394	17
131	400	399	17
160	360	405	16
118	422	401	21
210	278	383	18
288	158	359	16
156	356	399	14
280	177	361	21
133	395	405	11
365	81	343	13
187	304	386	15
26	630	453	19
139	379	397	20
260	177	369	5
157	356	388	25
360	83	345	14
305	132	359	13
385	60	330	7
326	108	340	6
199	286	372	7
294	144	357	8
223	244	362	9
252	209	367	22
179	318	383	14
111	435	415	16
302	144	351	24
24	636	449	22
177	324	388	18
13	667	452	23
29	624	452	20
374	67	341	23
178	321	386	13
175	334	479	6
279	177	420	6
86	484	401	11
252	203	373	8
55	532	421	12
196	280	369	7
152	360	385	6
242	209	354	11
350	92	324	11
71	520	425	16
378	64	330	28
115	432	409	17
17	654	452	24
190	305	380	29
